stop_id,stop name,route_num,latitude,longitude,pass_count,morning_time
saketj,Saket J Block,1,28.52211,77.21593,1,06:45:00
saketh,Saket H Block,1,28.52230,77.21200,1,06:47:00
gyan,Gyan Bharti School,1,28.52573,77.20557,2,06:49:00
shivalik,Shivalik Colony,1,28.52784,77.20598,1,06:59:00
malv1,Malviya Nagar 1,1,28.53613,77.20901,1,06:49:00
sarv,Sarvpriya Vihar,1,28.54361,77.20763,1,07:05:00
swami,Swami Nagar,1,28.54219,77.22594,1,07:07:00
tito,Josip Broz Tito Marg,1,28.54608,77.22969,2,07:12:00
sadiq,Sadiq Nagar,1,28.55420,77.22821,1,07:14:00
hudco,Hudco Place,1,28.56037,77.23096,1,07:15:00
andrew,Andrews Ganj,1,28.56555,77.23396,2,07:17:00
dda,DDA Flats Munirka,2,28.55627,77.17526,1,06:40:00
jnu,JNU,2,28.53500,77.16933,2,06:50:00
ber,Ber Sarai,2,28.55166,77.18212,2,06:52:00
munmark,Munirka Market,2,28.55469,77.17767,1,06:58:00
rkp,RK Puram Sector III,2,28.54888,77.18754,1,07:00:00
iit,IIT Gate,2,28.54602,77.19609,2,07:05:00
saf,Safdarjung Development Area,2,28.55312,77.20155,1,07:07:00
gp1,Green Park,2,28.56025,77.20341,1,07:14:00
kid,Kidwai Nagar,2,28.57275,77.20922,1,07:29:00
jorb,Jor Bagh,2,28.58579,77.21262,1,07:33:00
cha,Chanakyapuri,3,28.58485,77.19265,1,06:45:00
nmb,New Moti Bagh,3,28.57864,77.17594,1,06:51:00
ae,Aradhana Enclave,3,28.57328,77.17908,1,06:53:00
jsm,Chaudhary Jhandu Singh Marg,3,28.56548,77.19669,1,07:03:00
saf2,Safdarjung Enclave II,3,28.56533,77.20017,1,07:06:00
lbn,Lakshmi Bai Nagar,3,28.57940,77.20809,1,07:15:00
ina,INA Colony,3,28.57752,77.21055,3,07:20:00
sem,South Extension Market,3,28.56877,77.22041,1,07:25:00
defe,Defence Colony 1,3,28.57619,77.22948,1,07:30:00
jmi,Jamia Milia Islamia,4,28.56101,77.28070,2,06:55:00
ehi,Escorts Heart Institute,4,28.56131,77.27270,2,07:00:00
zb,Zakir Bagh,4,28.56220,77.27221,4,07:01:00
nfc,New Friends Colony,4,28.56896,77.27577,2,07:05:00
mb,Maharani Bagh,4,28.57264,77.26584,1,07:12:00
se,Siddharth Extension,4,28.58161,77.26582,1,07:20:00
sch,Saket City Hospital,5,28.52911,77.21406,2,06:35:00
sksii,Sheikh Sarai II,5,28.53353,77.23202,2,06:50:00
ski,Sheikh Sarai I,5,28.53845,77.22284,2,06:57:00
hk1,Hauz Khas I,5,28.54911,77.21011,2,07:04:00
asi,Asiad Village,5,28.54805,77.21872,1,07:09:00
gul,Gulmohar Park,5,28.55373,77.21222,1,07:15:00
nee,Neeti Bagh,5,28.55797,77.21777,1,07:17:00
ayu,Ayurvigyan Nagar,5,28.56109,77.22202,1,07:20:00
shi,Shiv Mandir,5,28.56645,77.22502,1,07:25:00
sv,Sukhdev Vihar,6,28.55645,77.27768,1,06:55:00
ek1,East of Kailash C Block,6,28.56074,77.26084,1,07:05:00
sn,Sant Nagar,6,28.55600,77.25187,1,07:07:00
ek2,East of Kailash D Block,6,28.55830,77.24671,1,07:09:00
ek3,East of Kailash E Block,6,28.56031,77.24591,1,07:10:00
ac,Amar Colony,6,28.56107,77.24901,2,07:12:00
dc,Dayanand Colony,6,28.56222,77.25019,2,07:15:00
tccm,3Cs Central Market,6,28.56857,77.24124,2,07:22:00
kd,Kalkaji Depot,7,28.53944,77.26619,1,06:45:00
na,Nehru Apartments,7,28.54552,77.25035,1,06:48:00
kc,Kailash Colony metro station,7,28.55461,77.24283,1,07:02:00
